State,EST_ST,WEEK,count,anxiety_percentage,depression_percentage
Georgia,13,24,1754,17.83067274800456,14.860319270239453
Georgia,13,25,1734,18.036332179930795,15.031718569780853
Georgia,13,26,1673,18.693962940824864,15.579796772265391
Georgia,13,27,1719,18.19371727748691,15.162885398487493
Georgia,13,28,1578,19.819391634980988,16.517743979721168
Georgia,13,29,1703,18.364650616559015,15.305343511450381
Georgia,13,30,1395,22.419354838709676,18.684587813620073
Georgia,13,31,1652,18.931598062953995,15.777845036319613
Georgia,13,32,1606,19.47384806973848,16.229763387297634
Georgia,13,33,1541,20.295262816353016,16.91434133679429
Georgia,13,34,1542,20.282101167315176,16.90337224383917
Georgia,13,35,1631,19.175352544451258,15.980993255671367
Georgia,13,36,1655,18.897280966767372,15.749244712990937
Georgia,13,37,1558,20.073812580231067,16.729781771501926
Georgia,13,38,1453,21.524432209222297,17.938747419132827
Georgia,13,39,1321,23.675246025738076,19.73126419379258
Hawaii,15,1,857,19.630105017502917,16.36872812135356
Hawaii,15,2,605,27.806611570247934,23.186776859504132
Hawaii,15,3,1980,8.496464646464647,7.084848484848485
Hawaii,15,4,1581,10.640733712839975,8.872865275142315
Hawaii,15,5,1494,11.26037483266399,9.389558232931726
Hawaii,15,6,1221,13.778050778050778,11.48894348894349
Hawaii,15,7,1180,14.25677966101695,11.888135593220339
Hawaii,15,8,1542,10.909857328145266,9.09727626459144
Hawaii,15,9,1356,12.406342182890855,10.345132743362832
Hawaii,15,10,1325,12.696603773584906,10.587169811320754
Hawaii,15,11,1342,12.535767511177347,10.453055141579732
Hawaii,15,12,1357,12.39719970523213,10.337509211495947
Hawaii,15,13,1425,11.80561403508772,9.84421052631579
Hawaii,15,14,1435,11.72334494773519,9.77560975609756
Hawaii,15,15,1269,13.256895193065406,11.05437352245863
Hawaii,15,16,1109,15.169522091974752,12.649233543733093
Hawaii,15,17,1056,15.930871212121213,13.284090909090908
Hawaii,15,18,629,26.745627980922098,22.302066772655007
