Region,Week,Anxiety Percentage,Depression Percentage,Covid Cases Percentage,Covid Deaths Percentage
South Carolina,9,11.076787807737398,9.254396248534585,0.120597250240438,0.158907543180791
South Carolina,10,12.00571791613723,10.030495552731892,0.162225888248344,0.181592682740885
South Carolina,11,12.262816353017522,10.245295262816352,0.205257988089324,0.21238497053721
South Carolina,12,13.02343211578222,10.880771881461062,0.254264508460822,0.25440826185345
South Carolina,13,12.199483537766302,10.192382182052937,0.910147156024202,1.23615416225825
South Carolina,14,11.248214285714283,9.397619047619049,1.01247289876369,1.41897407386058
South Carolina,15,12.99656121045392,10.858321870701513,1.12527005699818,1.56687374604172
South Carolina,16,13.693478260869565,11.440579710144927,1.22611529234942,1.68156386145702
South Carolina,17,15.202735317779563,12.70152855993564,1.32788630709165,1.78941124625091
South Carolina,18,23.503731343283583,19.63681592039801,1.44191187965785,1.91596457399353
South Carolina,19,19.421377183967113,16.226104830421377,1.58914593559795,2.0171551719329
South Carolina,20,19.03021148036254,15.899295065458208,1.76789717088475,2.13954335929728
South Carolina,21,20.124600638977636,16.8136315228967,2.06426676706668,2.31128102239321
South Carolina,22,19.38153846153846,16.192820512820514,2.90414776040652,2.85118734392345
South Carolina,23,15.87983193277311,13.267226890756303,3.39853552794906,3.23980981671523
South Carolina,24,16.432173913043478,13.728695652173911,3.77322840279337,3.73728377064208
South Carolina,25,18.100574712643677,15.122605363984674,4.06001291554705,4.04159933952774
South Carolina,26,16.262478485370053,13.586919104991392,4.22709267377144,4.24078230261604
South Carolina,27,17.352617079889807,14.497704315886134,4.35320700212688,4.36804221667283
South Carolina,28,30.381028938906752,25.382636655948552,4.57217231902856,4.52654068356648
South Carolina,29,18.526470588235295,15.47843137254902,4.65715788093806,4.61036413367869
South Carolina,30,22.205640423031728,18.55229142185664,4.71859154117713,4.66741168135932
South Carolina,31,18.205202312138727,15.210019267822736,4.75369103065725,4.70657143866552
South Carolina,32,20.08182784272051,16.777895855472902,4.76879380856495,4.7299259757864
South Carolina,33,19.746081504702193,16.497387669801462,4.78132264856534,4.74799970992772
South Carolina,34,20.167556029882604,16.849519743863393,4.90388548500941,4.78135802170708
South Carolina,35,18.897,15.788,5.17020978013072,4.83241818009398
South Carolina,36,18.13531669865643,15.151631477927063,5.59232080418104,4.99396612476455
South Carolina,37,19.12651821862348,15.979757085020244,6.16194078271233,5.29887671370424
South Carolina,38,22.075934579439252,18.44392523364486,6.65200105551178,5.71698986792414
South Carolina,39,22.740072202166065,18.998796630565582,6.94775613634563,6.15273049124484
South Dakota,1,18.369631901840492,14.77760736196319,0.0901146294868554,0.0382246193305722
South Dakota,2,32.37027027027027,26.04054054054054,0.0590722268317462,0.0387979886205308
South Dakota,3,9.453038674033149,7.6045777426992895,0.0692922241700514,0.0506476206130082
South Dakota,4,10.289518900343642,8.277491408934708,0.0782423846496983,0.0567635597058998
South Dakota,5,11.04889298892989,8.888376383763838,0.0867342361941512,0.0689954378916829
South Dakota,6,12.385729058945191,9.963805584281282,0.0943561765112934,0.0749202538879216
South Dakota,7,18.285496183206103,14.709923664122137,0.102264195017283,0.0858142703971347
South Dakota,8,11.953093812375249,9.615768463073852,0.109375281425769,0.0926947018766377
South Dakota,9,11.965034965034963,9.625374625374626,0.116185693819447,0.103015349095892
South Dakota,10,12.33470648815654,9.922760041194644,0.123276346071587,0.111424765348618
South Dakota,11,11.516346153846154,9.264423076923077,0.130737732303152,0.123083274244443
South Dakota,12,12.24642126789366,9.851738241308793,0.137822546224908,0.133977290753656
South Dakota,13,11.04889298892989,8.888376383763838,0.449174867307157,0.40212299535761997
South Dakota,14,9.865733113673803,7.936573311367381,0.586854374437641,0.435378414175218
South Dakota,15,10.599115044247789,8.526548672566372,0.738394077901251,0.510489791159792
South Dakota,16,10.998163452708908,8.847566574839302,0.968938068129754,0.641217989270349
South Dakota,17,11.183006535947712,8.996265172735761,1.32107696527907,0.830429854956682
South Dakota,18,18.51159196290572,14.891808346213292,1.86491160227752,1.14597408753056
South Dakota,19,15.084382871536524,12.134760705289672,2.54981489719474,1.67997201957865
South Dakota,20,16.163292847503374,13.002699055330634,3.09047056329876,2.44025969806373
South Dakota,21,17.13447782546495,13.783977110157368,3.4873223136988,3.16862981940779
South Dakota,22,17.085592011412267,13.744650499286733,3.94082046465578,3.96523088625691
South Dakota,23,15.717847769028872,12.644356955380577,4.07469629954068,4.28803779650359
South Dakota,24,16.339699863574353,13.144611186903138,4.15644752075154,4.51050508100752
South Dakota,25,15.141592920353984,12.18078381795196,4.23568534073182,4.63836643266829
South Dakota,26,15.084382871536524,12.134760705289672,4.31943035176904,4.72723867261187
South Dakota,27,16.75104895104895,13.475524475524477,4.41038278166609,4.78228212444789
South Dakota,28,25.75698924731183,20.72043010752688,4.60521370493178,4.85529114736929
South Dakota,29,16.845288326300984,13.551336146272854,4.66444064751871,4.90077844437267
South Dakota,30,22.640831758034025,18.21361058601134,4.69662444376402,4.95754200407857
South Dakota,31,19.79669421487603,15.925619834710744,4.71319362539562,5.00608727062839
South Dakota,32,19.570261437908496,15.743464052287582,4.71967417212256,5.03418236583636
South Dakota,33,20.438566552901023,16.4419795221843,4.7257781465397,5.05253018311504
South Dakota,34,20.6144578313253,16.583476764199656,4.74636409947593,5.0733626006502
South Dakota,35,18.174506828528074,14.6206373292868,4.78558600299991,5.09553287986193
South Dakota,36,19.071656050955415,15.34235668789809,4.9111422170867,5.11636529739709
