week;sum;sentiments;count
38;7381;positive;1686
38;7381;sadness;552
38;7381;surprise;194
38;7381;trust;1105
39;8703;anger;612
39;8703;anticipation;733
39;8703;disgust;385
39;8703;fear;1020
39;8703;joy;523
39;8703;negative;1422
39;8703;positive;1781
39;8703;sadness;693
39;8703;surprise;264
39;8703;trust;1270
