state,EST_ST,week,count,anxiety_percentage,depression_percentage,total_cases,total_deaths,total_cases_us,total_deaths_us,total_cases_state_all_weeks,total_deaths_state_all_weeks,percentage_cases_spatial,percentage_deaths_spatial,percentage_cases_state,percentage_deaths_state
Florida,12,37,2472,21.08697411003236,17.49514563106796,43618894,613087,525106961,8480704,667138994,10714983,8.30666840084034,7.22919936835433,6.53820184283817,5.72177296034907
Florida,12,38,2186,23.84583714547118,19.784080512351327,45679877,677361,551080385,8831887,667138994,10714983,8.28914950402381,7.66949350688024,6.8471304197218,6.32162458867177
Florida,12,39,2203,23.66182478438493,19.631411711302768,46660766,724919,570984508,9178044,667138994,10714983,8.17198458911603,7.89840406082168,6.99415960087022,6.765470369855
Georgia,13,1,1778,17.589988751406075,14.65973003374578,322279,13761,13644993,786250,309831293,5574721,2.36188468546668,1.7502066772655,0.10401757578438,0.246846434108541
Georgia,13,2,999,31.306306306306308,26.09109109109109,191120,8363,7940175,474933,309831293,5574721,2.40699984572128,1.76087995569901,0.061685182974723,0.15001647616087
Georgia,13,3,3079,10.157518674894446,8.465410847677818,215121,9515,8896630,534045,309831293,5574721,2.41800546948676,1.78168506399273,0.0694316567952353,0.170681187453148
Georgia,13,4,2449,12.770518579011842,10.643119640669662,243580,10808,9837494,582599,309831293,5574721,2.4760370883072498,1.8551353503868,0.0786169781759262,0.193875173304637
Georgia,13,5,2755,11.352087114337568,9.460980036297642,268458,12014,10727153,623896,309831293,5574721,2.50260250786019,1.92564145306269,0.0866465092665769,0.215508542938741
Georgia,13,6,2056,15.211575875486382,12.677529182879375,294886,12980,11646234,661268,309831293,5574721,2.53202880862603,1.96289552798563,0.0951763126134583,0.232836764386953
Georgia,13,7,1947,16.06317411402157,13.387262455059066,326392,14497,12570310,693159,309831293,5574721,2.5965310322498,2.09143933787197,0.105345072423011,0.260048888545274
Georgia,13,8,2610,11.982758620689657,9.986590038314176,366601,15619,13688447,718836,309831293,5574721,2.6781781746315,2.17281827843903,0.118322780262225,0.280175456314316
Georgia,13,9,2505,12.48502994011976,10.405189620758485,433300,16396,15271347,754416,309831293,5574721,2.83733975791395,2.1733367266866,0.13985030233857,0.294113373566139
Georgia,13,10,2266,13.801853486319503,11.502647837599294,529357,16909,17321941,779487,309831293,5574721,3.05599124255186,2.16924721002403,0.170853303704219,0.303315627813482
Georgia,13,11,2276,13.74121265377856,11.452108963093146,643769,17660,19735326,808303,309831293,5574721,3.26201350816298,2.18482425526071,0.207780496852524,0.316787154011833
Georgia,13,12,2194,14.25478577939836,11.880127620783956,772903,18628,22513159,840740,309831293,5574721,3.43311660527072,2.21566715036753,0.249459308166138,0.334151251694928
Georgia,13,13,2624,11.918826219512194,9.933307926829269,3144929,66882,75392468,2322210,309831293,5574721,4.17141006711705,2.88010128282972,1.01504563001001,1.19973717070325
Georgia,13,14,2501,12.50499800079968,10.421831267493005,3500616,77475,82613109,2473036,309831293,5574721,4.23736140955547,3.13278900913695,1.12984584807578,1.38975564875803
