state,week,total_cases,total_deaths,total_cases_us,total_deaths_us,percentage_cases,percentage_deaths
Oklahoma,24,5275900,50172,353902473,6107034,1.4907779409611528,0.8215444682312232
Oklahoma,25,5466803,55270,367750323,6540703,1.4865528751690587,0.8450162008579201
Oklahoma,26,5585899,60111,379269903,6856950,1.472803129332411,0.8766434055957824
Oklahoma,27,5663553,62616,389709216,7073156,1.4532766399858503,0.8852625334433456
Oklahoma,28,5793979,87175,413555826,7388536,1.4010149623668946,1.1798683798793157
Oklahoma,29,5836313,88508,422815728,7515404,1.3803443470768901,1.1776878528419763
Oklahoma,30,5867303,89654,429112805,7628850,1.3673101645148995,1.1751967858851595
Oklahoma,31,5891106,94933,432772697,7733730,1.3612471491009979,1.2275189332960939
Oklahoma,32,5914395,95399,434955807,7800559,1.3597691776534897,1.2229764559180951
Oklahoma,33,5948827,96016,437380590,7853097,1.3601031083706754,1.2226513947300026
Oklahoma,34,6186381,97088,451183101,7948347,1.3711464339618518,1.2214866814445822
Oklahoma,35,6516506,98281,470282286,8038989,1.385658400069953,1.2225542291449831
Oklahoma,36,6928129,100604,496698578,8212460,1.3948356824166306,1.2250166210855213
Oklahoma,37,7390125,105255,525106961,8480704,1.4073561291068089,1.241111586962592
Oklahoma,38,7777358,111369,551080385,8831887,1.4112928370694957,1.260987600950963
Oklahoma,39,8049273,117921,570984508,9178044,1.4097182825842973,1.2848162418920632
Oregon,1,32055,1286,13644993,786250,0.23492133707946938,0.1635612082670906
Oregon,2,19090,759,7940175,474933,0.2404229125932363,0.15981201558956737
Oregon,3,21668,826,8896630,534045,0.24355289587180765,0.15466861406810287
Oregon,4,23413,883,9837494,582599,0.23799760386130855,0.1515622237593954
Oregon,5,25289,919,10727153,623896,0.2357475464365988,0.14730019105748393
Oregon,6,28495,980,11646234,661268,0.24467136758543578,0.14820012460908435
Oregon,7,33769,1058,12570310,693159,0.26864094839347635,0.15263453262527069
Oregon,8,41041,1137,13688447,718836,0.29982217851301907,0.15817237867886416
Oregon,9,49275,1228,15271347,754416,0.3226630892481194,0.16277491463595684
Oregon,10,60228,1303,17321941,779487,0.3476977551187826,0.16716122270159733
Oregon,11,72114,1427,19735326,808303,0.36540566900187005,0.17654270737582317
Oregon,12,86364,1565,22513159,840740,0.3836156445214996,0.1861455384542189
Oregon,13,329718,5682,75392468,2322210,0.4373354643331214,0.24468071363055022
Oregon,14,368498,6398,82613109,2473036,0.44605269606788434,0.2587103463111738
Oregon,15,408105,6958,89958441,2613757,0.4536594848281108,0.2662068432528349
Oregon,16,461250,7568,98283032,2744562,0.4693078658786188,0.27574527374495456
Oregon,17,523388,8253,108710383,2877454,0.48145171193077296,0.2868160533582813
Oregon,18,608875,9130,123742353,3032206,0.4920506077656371,0.3011009146476196
Oregon,19,768592,10215,149140694,3242863,0.5153469381066444,0.3149994310582963
Oregon,20,1000561,12357,180323778,3537929,0.5548691421050417,0.3492721306730576
Oregon,21,1252902,15966,218484424,3967089,0.573451405396295,0.4024613513838485
Oregon,22,1658853,21877,297414902,4959558,0.5577571899877432,0.44110785678885095
Oregon,23,1812447,24895,331246599,5536919,0.5471594290995271,0.44961828049137076
Oregon,24,1923190,26857,353902473,6107034,0.54342372453554455,0.4397715814256151
Oregon,25,1997810,28406,367750323,6540703,0.5432517322357321,0.4342958241644667
Oregon,26,2055294,30024,379269903,6856950,0.5419080142512652,0.4378623148776059
Oregon,27,2109485,30900,389709216,7073156,0.541297180921685,0.43686297884565245
Oregon,28,2296726,32248,413555826,7388536,0.5553605718034305,0.43645994280869715
Oregon,29,2439859,32823,422815728,7515404,0.5770501990408455,0.43674298813476964
Oregon,30,2552703,34012,429112805,7628850,0.5948792416017509,0.44583390681426427
Oregon,31,2623058,35091,432772697,7733730,0.6061052414311617,0.4537396573193013
Oregon,32,2671856,35978,434955807,7800559,0.6142821769476916,0.4612233559159029
Oregon,33,2709903,36411,437380590,7853097,0.6195755051681648,0.4636514740617619
Oregon,34,2822772,37379,451183101,7948347,0.6256377940006224,0.47027388210404003
Oregon,35,3023025,38168,470282286,8038989,0.6428107309149212,0.4747860707360092
Oregon,36,3383174,40028,496698578,8212460,0.681132209724184,0.4874057225240671
Oregon,37,3764090,43441,525106961,8480704,0.7168234816068264,0.5122334183577213
Oregon,38,4094416,47076,551080385,8831887,0.7429798104681226,0.533023124050387
Oregon,39,4369952,50504,570984508,9178044,0.7653363512972929,0.5502697524657759
Pennsylvania,1,606306,30626,13644993,786250,4.443432107293862,3.8951987281399045
Pennsylvania,2,354312,22705,7940175,474933,4.462269408419839,4.780674326694502
Pennsylvania,3,392389,26959,8896630,534045,4.41053522513581,5.048076472956399
Pennsylvania,4,427544,30519,9837494,582599,4.346066183115334,5.238422997636453
Pennsylvania,5,455441,33200,10727153,623896,4.245683826827118,5.321399720466231
Pennsylvania,6,478240,35874,11646234,661268,4.1063918173033445,5.4250319083941765
Pennsylvania,7,498575,37599,12570310,693159,3.9662904097035,5.424296589959879
Pennsylvania,8,515719,38788,13688447,718836,3.767549379414626,5.395945667718367
Pennsylvania,9,538144,39892,15271347,754416,3.5238803754508363,5.287798774151131
Pennsylvania,10,565619,40771,17321941,779487,3.265332678364394,5.2304913359683995
Pennsylvania,11,596992,41647,19735326,808303,3.0249918344394207,5.1523995333433135
Pennsylvania,12,631463,42408,22513159,840740,2.8048618143726523,5.044127792183077
Pennsylvania,13,1753693,99762,75392468,2322210,2.3260851468610895,4.295993902360252
Pennsylvania,14,1889595,102269,82613109,2473036,2.287282276230519,4.135362364316573
Pennsylvania,15,2036682,105185,89958441,2613757,2.2640254514859812,4.024283818273848
Pennsylvania,16,2218636,108277,98283032,2744562,2.257394745412413,3.945146803023579
Pennsylvania,17,2476296,111916,108710383,2877454,2.2778836130123836,3.8894105692045815
Pennsylvania,18,2874590,116375,123742353,3032206,2.323044560175771,3.8379648348430155
Pennsylvania,19,3676453,123992,149140694,3242863,2.4650904467428587,3.823534944276092
Pennsylvania,20,4932180,139675,180323778,3537929,2.735180049299988,3.947931120155322
Pennsylvania,21,6680097,169063,218484424,3967089,3.0574705865531175,4.26163869779579
Pennsylvania,22,9591291,237096,297414902,4959558,3.224885819608326,4.780587302336216
Pennsylvania,23,10668900,272093,331246599,5536919,3.2208330688400517,4.914158939294579
Pennsylvania,24,11465617,294611,353902473,6107034,3.239767414679806,4.824125754007592
Pennsylvania,25,12003141,308823,367750323,6540703,3.2639375819120624,4.721556688936953
Pennsylvania,26,12461683,317767,379269903,6856950,3.2857031104838286,4.634232421120178
Pennsylvania,27,12987753,323850,389709216,7073156,3.3326779215814084,4.578578501591086
Pennsylvania,28,14550282,335835,413555826,7388536,3.518335635779436,4.545352421643476
Pennsylvania,29,15155798,343294,422815728,7515404,3.584492486050566,4.567871534251519
Pennsylvania,30,15512705,350035,429112805,7628850,3.6150645749198747,4.588306232263054
Pennsylvania,31,15696756,354969,432772697,7733730,3.627020860791502,4.589880950071958
Pennsylvania,32,15776998,358297,434955807,7800559,3.6272645970214623,4.593222101134034
Pennsylvania,33,15814723,360048,437380590,7853097,3.615780709427457,4.5847899242808285
Pennsylvania,34,15944687,361852,451183101,7948347,3.5339725633917305,4.552544069855028
Pennsylvania,35,16188751,363013,470282286,8038989,3.442347603115972,4.515654891429756
Pennsylvania,36,16624635,365546,496698578,8212460,3.347026896461137,4.451114525976382
Pennsylvania,37,17249259,369672,525106961,8480704,3.28490389218055,4.358977745243791
Pennsylvania,38,18049319,376291,551080385,8831887,3.275260650041101,4.260595725466143
Pennsylvania,39,18906305,385473,570984508,9178044,3.3111765267018414,4.199947178287662
Puerto Rico,1,19907,1143,13644993,786250,0.1458923430741225,0.14537360890302067
Puerto Rico,2,13113,655,7940175,474933,0.16514749360058184,0.13791419000153707
Puerto Rico,3,15719,732,8896630,534045,0.1766848795555171,0.13706710108698705
Puerto Rico,4,18816,764,9837494,582599,0.1912682233910384,0.13113651070461846
Puerto Rico,5,22435,806,10727153,623896,0.20914216474772013,0.1291881980330055
Puerto Rico,6,29259,849,11646234,661268,0.25123142811659116,0.12838969978889045
Puerto Rico,7,34230,877,12570310,693159,0.2723083201607598,0.1265221976487357
Puerto Rico,8,38543,888,13688447,718836,0.28157321279762415,0.12353304508956146
Puerto Rico,9,42769,913,15271347,754416,0.2800604295089359,0.12102076308031642
Puerto Rico,10,48293,929,17321941,779487,0.2787967006699769,0.11918094849561313
Puerto Rico,11,57152,988,19735326,808303,0.28959237866149257,0.12223139095116559
