state,week,Negative,Positive,Anxiety,Depression,Covid Cases,Covid Deaths
South Carolina,32,1.2857142857142858,0.5449591280653951,20.08182784272051,16.777895855472902,4.76879380856495,4.7299259757864
South Dakota,32,2.107728337236534,2.741514360313316,19.570261437908496,15.743464052287582,4.71967417212256,5.03418236583636
Tennessee,32,2.542372881355932,1.6959798994974875,20.880294659300183,17.62154696132597,4.68471298524991,4.98643394374145
Texas,32,4.595404595404595,5.36547433903577,20.346055979643765,17.171614362454058,4.68807928790165,4.84234160247832
Utah,32,4.260089686098655,5.3468208092485545,19.252464403066817,16.177984665936474,4.81062476126243,4.96334583069093
Vermont,32,0.6701414743112435,1.4978601997146932,24.14358108108108,19.489864864864863,5.66958241982724,4.86194302410519
Virginia,32,2.328042328042328,2.0077220077220077,17.145178764897075,14.13542795232936,4.92599393893903,5.05422120106333
Washington,32,1.4584654407102091,1.8663594470046083,18.410667661320403,15.469600895188362,4.86728309489282,4.41769352987651
West Virginia,32,0.5780346820809249,0.5192107995846313,28.705555555555556,24.666666666666668,5.16973828689543,5.28923688874452
Wisconsin,32,0.4889975550122249,0.574052812858783,18.70170709793351,15.401617250673857,4.72479578359951,4.97316650489855
Wyoming,32,3.484320557491289,2.4830699774266365,22.615384615384617,18.804029304029303,4.7668770254381,5.04962878203252
Kansas,32,0,0.4962779156327544,18.294019933554814,15.19186046511628,4.70078567229759,5.11409571199221
Nebraska,32,3.5,3.1784841075794623,20.111229946524062,16.863101604278075,4.71751577232633,4.99018005269835
Alabama,33,1.0416666666666667,1.7171717171717171,22.78395061728395,19.717283950617283,4.54858992504731,5.04696494577651
Arkansas,33,1.1904761904761905,0.8215962441314554,26.33050847457627,22.456214689265536,4.57659271412346,4.77402175637464
California,33,0.7863247863247863,1.2423873325213155,21.049642722828132,17.709101165851823,4.83565845533861,5.1595184025132
Colorado,33,1.8298261665141813,1.0842779694430753,19.665499124343256,16.169877408056042,5.19975484371908,4.61797535926091
Connecticut,33,1.5346329323931978,1.9167217448777265,19.400851063829787,15.597446808510638,5.0890166399059,3.97461154308904
Delaware,33,0.7226738934056007,1.2465719272001994,21.66709677419355,17.903225806451612,5.08991462242595,4.54673080496315
Florida,33,1.8562874251497008,2.8134556574923546,21.172623883021934,17.566206336311943,4.53652271448549,4.59204648294822
Georgia,33,1.4336917562724014,2.4555903866248694,20.295262816353016,16.91434133679429,4.65547681137554,4.83032245021769
Idaho,33,2.6365348399246704,2.908726178535607,18.89777411376752,15.643033800494642,4.73145213843166,4.83879057909475
Illinois,33,1.4089729328883944,1.8932421772285035,21.45716154349248,17.612818835840418,4.79922810606167,4.51509604049087
Indiana,33,0.8159564823209429,1.0857763300760044,21.268798617113223,18.05963699222126,4.86664800474,4.75158473740429
Iowa,33,1.8433179723502304,1.4278159703860391,20.01443298969072,16.476288659793813,4.65967091639829,4.94351017858073
Kansas,33,0.2881844380403458,1.7369727047146402,18.55602358887953,15.409435551811288,4.72465731547154,5.14585364326835
Kentucky,33,0.7434944237918215,1.264591439688716,23.335740072202167,19.684717208182914,4.82980784847934,5.46649352784627
Louisiana,33,1.9332161687170475,0.8640552995391705,22.710247349823323,19.441696113074205,4.27718177694677,4.09291574755998
Maryland,33,1.8867924528301887,2.060133630289532,18.200356718192623,14.88228299643282,4.81518737506083,4.56368344485632
Massachusetts,33,1.544528425895498,1.5311804008908685,19.900161030595815,15.888352120236178,5.00639399047299,4.10784556669958
Michigan,33,1.1976047904191616,1.8273184102329831,18.489444444444445,15.391111111111112,5.41440288245743,4.65805719942003
