state,EST_ST,week,count,anxiety_percentage,depression_percentage
kentucky,21,12,1428,13.579831932773107,11.455182072829132
kentucky,21,13,1472,13.173913043478262,11.112771739130435
kentucky,21,14,1461,13.273100616016428,11.196440793976729
kentucky,21,15,1341,14.460850111856823,12.198359433258762
kentucky,21,16,1296,14.962962962962964,12.621913580246911
kentucky,21,17,1231,15.753046303818032,13.28838342810723
kentucky,21,18,797,24.33124215809285,20.524466750313675
kentucky,21,19,922,21.032537960954446,17.74186550976139
kentucky,21,20,913,21.23986856516977,17.916757940854325
kentucky,21,21,888,21.83783783783784,18.42117117117117
kentucky,21,22,891,21.764309764309765,18.35914702581369
kentucky,21,23,1041,18.62824207492795,15.713736791546587
kentucky,21,24,972,19.950617283950617,16.829218106995885
kentucky,21,25,982,19.74745417515275,16.65784114052953
kentucky,21,26,961,20.1789802289282,17.021852237252862
kentucky,21,27,932,20.8068669527897,17.551502145922747
kentucky,21,28,558,34.75268817204301,29.315412186379927
kentucky,21,29,952,20.369747899159663,17.182773109243698
kentucky,21,30,709,27.35119887165021,23.071932299012698
kentucky,21,31,839,23.113230035756853,19.497020262216925
kentucky,21,32,884,21.936651583710407,18.504524886877828
kentucky,21,33,831,23.335740072202167,19.684717208182914
kentucky,21,34,870,22.28965517241379,18.80229885057471
kentucky,21,35,915,21.19344262295082,17.8775956284153
kentucky,21,36,938,20.673773987206825,17.439232409381663
kentucky,21,37,849,22.840989399293285,19.267373380447584
kentucky,21,38,791,24.51580278128951,20.68015170670038
kentucky,21,39,719,26.970792767732963,22.751043115438108
louisiana,22,1,875,22.03542857142857,18.864
louisiana,22,2,510,37.805882352941175,32.36470588235294
louisiana,22,3,1774,10.868658399098084,9.304396843291997
louisiana,22,4,1528,12.6184554973822,10.802356020942408
louisiana,22,5,1825,10.564931506849316,9.044383561643835
louisiana,22,6,1361,14.166789125642907,12.127847171197647
louisiana,22,7,1183,16.29839391377853,13.95266272189349
louisiana,22,8,1568,12.29655612244898,10.526785714285714
louisiana,22,9,1630,11.82883435582822,10.12638036809816
louisiana,22,10,1535,12.560912052117263,10.753094462540716
louisiana,22,11,1488,12.95766129032258,11.09274193548387
louisiana,22,12,1546,12.471539456662354,10.676584734799482
louisiana,22,13,1461,13.19712525667351,11.297741273100616
louisiana,22,14,1495,12.896989966555184,11.040802675585285
louisiana,22,15,1307,14.752104055087988,12.628921193573069
louisiana,22,16,1304,14.786042944785276,12.6579754601227
louisiana,22,17,1174,16.42333901192504,14.05962521294719
louisiana,22,18,692,27.862716763005785,23.852601156069365
louisiana,22,19,832,23.174278846153847,19.838942307692307
louisiana,22,20,863,22.341830822711472,19.12630359212051
louisiana,22,21,799,24.131414267834792,20.658322903629536
louisiana,22,22,821,23.484774665042632,20.104750304506695
louisiana,22,23,966,19.959627329192543,17.08695652173913
louisiana,22,24,924,20.866883116883116,17.863636363636363
louisiana,22,25,914,21.09518599562363,18.059080962800877
louisiana,22,26,872,22.111238532110093,18.928899082568808
louisiana,22,27,865,22.290173410404623,19.082080924855493
louisiana,22,28,652,29.572085889570552,25.3159509202454
louisiana,22,29,917,21.02617230098146,18
louisiana,22,30,664,29.03765060240964,24.85843373493976
louisiana,22,31,837,23.03584229390681,19.72043010752688
louisiana,22,32,766,25.171018276762403,21.548302872062663
louisiana,22,33,849,22.710247349823323,19.441696113074205
louisiana,22,34,902,21.375831485587582,18.299334811529935
louisiana,22,35,969,19.897832817337463,17.03405572755418
louisiana,22,36,895,21.543016759776535,18.44245810055866
louisiana,22,37,714,27.00420168067227,23.11764705882353
louisiana,22,38,735,26.23265306122449,22.457142857142856
louisiana,22,39,668,28.86377245508982,24.709580838323355
maine,23,1,1146,12.417102966841188,9.924083769633508
maine,23,2,608,23.404605263157897,18.70559210526316
maine,23,3,1547,9.198448610213315,7.351648351648351
maine,23,4,1361,10.455547391623806,8.35635562086701
maine,23,5,1469,9.686861810755616,7.742001361470388
maine,23,6,1144,12.438811188811188,9.941433566433568
maine,23,7,1051,13.539486203615605,10.821122740247384
maine,23,8,1223,11.635322976287815,9.29926410466067
maine,23,9,1278,11.134585289514868,8.89906103286385
maine,23,10,1328,10.715361445783133,8.564006024096386
maine,23,11,1119,12.716711349419125,10.163538873994638
maine,23,12,1042,13.656429942418423,10.914587332053744
maine,23,13,987,14.41742654508612,11.522796352583589
maine,23,14,949,14.99473129610116,11.984193888303478
maine,23,15,869,16.375143843498275,13.087456846950518
maine,23,16,894,15.917225950782996,12.721476510067117
maine,23,17,774,18.38501291989664,14.693798449612403
maine,23,18,550,25.87272727272727,20.67818181818182
maine,23,19,680,20.926470588235293,16.725
maine,23,20,639,22.269170579029733,17.7981220657277
maine,23,21,660,21.560606060606062,17.23181818181818
maine,23,22,585,24.324786324786324,19.44102564102564
maine,23,23,723,19.681881051175655,15.730290456431534
