"","state","week","total_cases","total_deaths","total_cases_us","total_deaths_us","total_cases_state_all_weeks","total_deaths_state_all_weeks","percentage_cases_spatial","percentage_deaths_spatial","percentage_cases_bar","percentage_deaths_bar"
"1083","Montana",28,1397879,20146,413555826,7388536,30266961,412985,0.338014582824424,0.272665653926569,4.61849803817436,4.87814327396879
"1084","Montana",29,1422296,20534,422815728,7515404,30266961,412985,0.33638672968192,0.273225497923997,4.69917016115361,4.97209341743647
"1085","Montana",30,1442288,20805,429112805,7628850,30266961,412985,0.336109289490907,0.272714760416052,4.76522238225371,5.03771323413683
"1086","Montana",31,1456690,21058,432772697,7733730,30266961,412985,0.336594708977216,0.27228775765381,4.81280561996297,5.09897453902684
"1087","Montana",32,1469603,21392,434955807,7800559,30266961,412985,0.337874095792909,0.274236756622186,4.85546930198906,5.17984914706345
"1088","Montana",33,1479192,21626,437380590,7853097,30266961,412985,0.338193334093769,0.275381801600057,4.88715071195949,5.23650980059808
"1089","Montana",34,1506188,22096,451183101,7948347,30266961,412985,0.333830765527719,0.277994908878538,4.97634367718649,5.35031538675739
"1090","Montana",35,1545623,22434,470282286,8038989,30266961,412985,0.328658562317187,0.279064942121453,5.10663426037388,5.43215855297408
"1091","Montana",36,1610694,22987,496698578,8212460,30266961,412985,0.324279970054595,0.27990395082594,5.32162446041411,5.56606172137003
"1092","Montana",37,1707753,23675,525106961,8480704,30266961,412985,0.325220026934665,0.279163144946457,5.64230085736061,5.73265372834364
"1093","Montana",38,1854917,24803,551080385,8831887,30266961,412985,0.336596447721506,0.280834661947101,6.12852079863585,6.00578713512597
"1094","Montana",39,2015364,26578,570984508,9178044,30266961,412985,0.352962991423228,0.289582399038401,6.65862687700955,6.43558482753611
"1095","Nebraska",1,54417,832,13644993,786250,61792565,655808,0.398805627822601,0.105818759936407,0.0880639928120802,0.126866399921928
"1096","Nebraska",2,48888,576,7940175,474933,61792565,655808,0.615704313821799,0.121280264795245,0.0791163143980186,0.087830584561335
